parlamentar_id,id_proposicao,tipo,numero,ano,ementa
123086,2640403,REQ,3956,2026,Requer a criação da Frente Parlamentar Mista em Defesa do Programa Espacial Brasileiro.
123086,2635950,RPD,1,0,Requerimento de Inversão da Pauta - PL 244/2019
123086,2633488,PEC,15,2026,Altera os art. 150 Constituição Federal para incluir as entidades esportivas sem fins lucrativos.
123086,2633152,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI), pela constitucionalidade, juridicidade e técnica legislativa do PL 244/2019 e do PL 252/2019, apensado, na forma do Substitutivo da Comissão de Seguridade Social e Família, com Subemenda Substitutiva da Comissão de Finanças e Tributação."
123086,2630703,REQ,3410,2026,Requer urgência para o Projeto de Lei nº 2.301/2026.
123086,2627583,REQ,3131,2026,"Requer, nos termos do art. 104 do Regimento Interno da Câmara dos Deputados, a retirada de tramitação da Emenda nº 1 apresentada à PEC nº 221/2019"
123086,2627193,REQ,3075,2026,"Requer a retirada de assinatura das emendas nº 1 e 2 apresentadas à PEC 211, de 2019."
123086,2624863,EMC,2,0,"Altera o Art. 7º inciso XII da constituição Federal, reduzindo a jornada de trabalho a 36 horas semanais em 10 anos."
123086,2624861,EMC,1,0,"Altera o Art. 7º inciso XIII da Constituição Federal, reduzindo a jornada de trabalho a 36 horas semanais em 10 anos."
123086,2623553,REQ,34,2026,"Requer a realização de Audiência Pública Conjunta com a Comissão de Saúde para debater sobre a polilaminina, com a presença da Professora e Pesquisadora Tatiana Coelho de Sampaio."
123086,2621013,REQ,2596,2026,Requer a inclusão na Ordem do Dia do Plenário para votação imediata do Projeto de Lei Complementar nº 185/2024.
123086,2618387,SBT,1,0,Institui o Plano Nacional de Inclusão Digital (PNID).
123086,2618385,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI), pela aprovação do PL 4942/25 e do PL 5031/25, apensado, com substitutivo."
123086,2618380,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI), pela aprovação."
123086,2617114,REQ,31,2026,"Requer a aprovação de Moção de Louvor à Dra. Neuza Maria Frazatti Gallina, em reconhecimento à sua liderança no desenvolvimento da vacina brasileira contra a dengue (Butantan-DV)."
123086,2613402,REQ,25,2026,"Requer a aprovação de Moção de Louvor à cientista brasileira Lívia Schiavinato Eberlin, em reconhecimento às suas contribuições inovadoras para o diagnóstico e tratamento do câncer."
123086,2612368,PL,1438,2026,"Altera a Lei nº 14.300, de 6 de janeiro de 2022, que institui o marco legal da microgeração e minigeração distribuída, o Sistema de Compensação de Energia Elétrica (SCEE) e o Programa de Energia Renovável Social (PERS), para garantir a isenção do pagamento de componentes tarifárias pelo uso da rede elétrica por consumidores-geradores de energia solar e outras fontes renováveis."
123086,2608670,REQ,19,2026,"Requer a realização de audiência pública para debater a cibersegurança nas eleições, especialmente no que se refere ao uso de inteligência artificial durante as campanhas eleitorais e ao combate à desinformação."
123086,2608669,REQ,18,2026,"Requer a realização de audiência pública para debater a Inteligência Artificial no ambiente educacional, as oportunidades e riscos na formação profissional e acadêmica."
123086,2608668,REQ,17,2026,"Requer a realização de visita técnica da Comissão de Ciência, Tecnologia e Inovação às instalações do Instituto Nacional de Pesquisas Espaciais (INPE) e ao prédio da Direção do Departamento de Ciência e Tecnologia Aeroespacial (DCTA), em São José dos Campos/SP."
123086,2608667,REQ,16,2026,"Requer visita técnica da Comissão de Ciência, Tecnologia e Inovação à sede do Núcleo de Informação e Coordenação do Ponto BR – NIC.br, na cidade de São Paulo/SP"
123086,2608666,REQ,15,2026,"Requer visita técnica da Comissão de Ciência, Tecnologia e Inovação à cidade de Campinas/SP, para conhecer as instalações do Sirius – acelerador de partículas do Centro Nacional de Pesquisa em Energia e Materiais (CNPEM), com a participação de representantes do Ministério da Ciência, Tecnologia e Inovação e do Comando da Aeronáutica."
123086,2607733,REQ,1355,2026,Requer o registro da Frente Parlamentar em Defesa da Política Nacional de Plantas Medicinais e Fitoterápicos
123086,2606317,PL,903,2026,"Esta Lei altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, para tipificar como crime o descumprimento de obrigação estabelecida em medida cautelar diversa da prisão."
123086,2604173,PEC,3,2026,"Altera o art. 155 da Constituição Federal para estabelecer alíquota máxima e base de cálculo exclusiva do Imposto sobre a Propriedade de Veículos Automotores – IPVA, e acrescenta dispositivos ao Ato das Disposições Constitucionais Transitórias para limitar despesas com publicidade institucional e com o Poder Legislativo."
123086,2604012,RDF,1,0,Redação Final ao PL 5874/2025
123086,2600872,REQ,2,2026,"Requer autorização para utilizar parte da previsão orçamentária mensal definida para esta Comissão, para cobrir, durante o ano de 2026, despesas com coquetéis, coffee breaks e cafés da manhã/da tarde nas ocasiões de realização de mesas redondas, eventos de articulação política ou eventos afins, destinados à discussão de assuntos atinentes ao campo temático ou área de atuação desta Comissão"
123086,2600870,REQ,1,2026,"Requer a realização de Reunião com a Ministra da Ciência, Tecnologia e Inovação para apresentar o planejamento das ações do Ministério para o ano de 2026 e expor as realizações e resultados alcançados pela pasta em 2025."
123086,2600555,PEP,1,0,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Átila Lira (PP-PI) pela: • Comissão de Educação, que conclui pela rejeição das Emendas de Plenário. • Comissão de Administração e Serviço Público, que conclui pela rejeição das Emendas de Plenário. • Comissão de Finanças e Tributação, que conclui pela adequação financeira e orçamentária das Emendas de Plenário. • Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa das Emendas de Plenário."
123086,2600554,PRLE,1,0,Cria cargos de provimento efetivo no âmbito do Ministério da Educação e do Ministério da Gestão e da Inovação em Serviços Públicos.
123086,2600527,SBT,1,0,
123086,2600525,PPP,1,0,"Parecer proferido em Plenário pelo Relator, Dep. Átila Lira (PP-PI) pela: • Comissão de Educação, que conclui pela aprovação do Projeto de Lei nº 5.874/2025, do Projeto de Lei nº 5.893/2025, do Projeto de Lei nº 6.170/2025 e do Projeto de Lei nº 1/2026, na forma do Substitutivo adotado pelo relator da Comissão de Administração e Serviço Público. • Comissão de Administração e Serviço Público, que conclui pela aprovação do Projeto de Lei nº 5.874/2025, do Projeto de Lei nº 5.893/2025, do Projeto de Lei nº 6.170/2025 e do Projeto de Lei nº 1/2026, na forma do Substitutivo adotado. • Comissão de Finanças e Tributação, que conclui pela compatibilidade e adequação orçamentária e financeira do Projeto de Lei nº 5.874/2025, do Projeto de Lei nº 5.893/2025, do Projeto nº 6.170/2025, do Projeto de Lei nº 1/2026 e do Substitutivo adotado pelo relator da Comissão de Administração e Serviço Público, dada a não implicação das matérias em aumento ou diminuição da receita e da despesa pública. • Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa do Projeto de Lei nº 5.874/2025, do Projeto de Lei nº 5.893/2025, do Projeto de Lei nº 6.170/2025, do Projeto de Lei nº 1/2026 e do Substitutivo adotado pelo relator da Comissão de Administração e Serviço Público."
123086,2600446,PRLP,2,0,Cria cargos de provimento efetivo no âmbito do Ministério da Educação e do Ministério da Gestão e da Inovação em Serviços Públicos.
123086,2600331,PRLP,1,0,Cria cargos de provimento efetivo no âmbito do Ministério da Educação e do Ministério da Gestão e da Inovação em Serviços Públicos.
123086,2595818,PEC,48,2025,Altera o inciso XVI do art. 37 da Constituição Federal para permitir a acumulação de cargos públicos por outros profissionais da área da educação.
123086,2594123,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI), pela constitucionalidade, juridicidade e técnica legislativa."
123086,2594122,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI), pela constitucionalidade, juridicidade e técnica legislativa."
123086,2594121,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI), pela constitucionalidade, juridicidade e técnica legislativa."
123086,2594120,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI), pela constitucionalidade, juridicidade e técnica legislativa."
123086,2590518,PL,6083,2025,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, (Código Penal) para aumentar as penas previstas para o crime de roubo."
123086,2587717,ESB,1,2025,"Altera a Lei 6.530, de 12 de maio de 1978, para dispor sobre formação superior para os Corretores de Imóveis; e altera a Lei nº 7.433, de 18 de dezembro de 1985, para dispor sobre atos notariais relativos a imóveis."
123086,2585482,REQ,4932,2025,"Requeiro a Vossa Excelência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação imediata do Projeto de Lei nº 6.819, de 2010, que “Altera a Lei nº 8.234, de 17 de setembro de 1991, para dispor sobre a jornada e condições de trabalho dos nutricionistas. ”"
123086,2580967,REQ,4651,2025,"Requer dispensa do interstício regimental entre o primeiro e o segundo turno de deliberação da Proposta de Emenda à Constituição nº 39, de 2022."
123086,2579203,REQ,4605,2025,Requer a quebra de interstício para votação em segundo turno da PEC 169/2019.
123086,2576168,PEC,38,2025,"Altera normas sobre a Administração Pública brasileira para aperfeiçoar a governança e a gestão pública, promover a transformação digital, impulsionar a profissionalização e extinguir privilégios no serviço público."
123086,2573184,REQ,200,2025,Requer a inclusão de representante da Federação Nacional das Escolas Particulares (FENEP) na Audiência Pública a ser realizada em decorrência do REQ 192/2025 CE.
123086,2573046,PRL,1,0,"Parecer do Relator, Dep. Átila Lira (PP-PI)."
123086,2568071,REQ,4166,2025,"REQUERIMENTO DE QUEBRA DE INTERSTÍCIO DE 2 SESSÕES PARA QUE A PEC 14/2021, QUE  ""Altera o art. 198 da Constituição Federal para estabelecer o Sistema de Proteção Social e Valorização dos Agentes Comunitários de Saúde e Agentes de Combate às Endemias, a aposentadoria especial e exclusiva, e fixar a responsabilidade do gestor local do SUS pela regularidade do vínculo empregatício desses profissionais"", SEJA APRECIADA EM PLENÁRIO."
123086,2567744,PL,4986,2025,"Torna obrigatória a inserção de código QR (Quick Response Code) nas embalagens de bebidas fabricadas, importadas ou comercializadas em território nacional, para fins de verificação de autenticidade, rastreabilidade e identificação de abertura, e dá outras providências."
123086,2567230,REQ,4119,2025,Requer o registro da Frente Parlamentar de Acolhimento e Desenvolvimento Integrado.
220699,2644042,REQ,72,2026,Requer a realização de audiência pública para discutir a atualização do Livro dos Heróis e Heroínas da Pátria.
220699,2642417,REQ,4004,2026,Requer a urgência do Projeto de Lei nº PL 2829/2024
220699,2638480,SBT,1,0,Altera a legislação relativa ao sistema financeiro nacional para dispor sobre a obrigatoriedade de oferta de mecanismo de autenticação em dois fatores com validação por pessoa de confiança para clientes idosos.
220699,2638478,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação do PL 1453/26 e da Emenda 1/26 da CIDOSO, com substitutivo, ."
220699,2633488,PEC,15,2026,Altera os art. 150 Constituição Federal para incluir as entidades esportivas sem fins lucrativos.
220699,2625960,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação."
220699,2625930,PRL,2,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação."
220699,2625680,PRL,2,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação do PL 1270/2022 e das Emendas Adotadas pela Comissão de Viação e Transporte."
220699,2625678,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação."
220699,2625642,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação."
220699,2622873,EMR,1,0,
220699,2622480,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação."
220699,2621285,REQ,31,2026,Requer a realização de Audiência Pública para debater a instituição do Dia Nacional do Gestor Público e do Dia Nacional do Campo de Públicas.
220699,2620609,EMR,1,0,
220699,2620188,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação, com emenda."
220699,2619305,REQ,29,2026,Requer a realização de audiência pública para debater a pertinência de estabelecer Oeiras (PI) como Capital Nacional dos Bandolins.
220699,2619271,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação, com emenda."
220699,2618366,SBT,2,0,"Dá nova redação ao art. 96 da Lei nº 11.196, de 21 de novembro de 2005, para dispor sobre parcelamento de débitos previdenciários de responsabilidade dos Municípios apurados até 31 de dezembro de 2010."
220699,2618365,PRL,2,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação do PL 2893/21, dos PLs 2156/22, 3309/23, 4113/23, e 4651/23, apensados, e do Substitutivo da Comissão de Saúde, com substitutivo."
220699,2618347,SBT,2,0,"Dá nova redação ao art. 96 da Lei nº 11.196, de 21 de novembro de 2005, para dispor sobre parcelamento de débitos previdenciários de responsabilidade dos Municípios apurados até 31 de dezembro de 2010."
220699,2618334,PRL,2,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação do PL 1894/11 e dos PLs 3196/12, 875/15, e 6610/16, apensados, com substitutivo."
220699,2618320,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (MDB-PI), pela aprovação."
220699,2617982,REQ,2239,2026,"Requer a inclusão na Ordem do Dia do Plenário para votação imediata do Projeto de Lei Complementar nº 185, de 2024."
220699,2614433,RPD,1,0,Requerimento de Inversão da Pauta - PL 11217/2018
220699,2612368,PL,1438,2026,"Altera a Lei nº 14.300, de 6 de janeiro de 2022, que institui o marco legal da microgeração e minigeração distribuída, o Sistema de Compensação de Energia Elétrica (SCEE) e o Programa de Energia Renovável Social (PERS), para garantir a isenção do pagamento de componentes tarifárias pelo uso da rede elétrica por consumidores-geradores de energia solar e outras fontes renováveis."
220699,2604274,EMR,2,0,"Institui a Política Nacional de Promoção dos Direitos e Atenção Integral às Pessoas Idosas com Transtorno do Espectro Autista (TEA), altera a Lei nº 10.741, de 1º de outubro de 2003, e a Lei nº 12.764, de 27 de dezembro de 2012, e dá outras providências."
220699,2604272,EMR,1,0,"Institui a Política Nacional de Promoção dos Direitos e Atenção Integral às Pessoas Idosas com Transtorno do Espectro Autista (TEA), altera a Lei nº 10.741, de 1º de outubro de 2003, e a Lei nº 12.764, de 27 de dezembro de 2012, e dá outras providências."
220699,2604256,PRL,2,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação com emendas."
220699,2601407,REQ,296,2026,"Requer a Criação da ""Frente Parlamentar em Defesa do Mutualismo""."
220699,2598197,REQ,6008,2025,Requer a criação e registro da Frente Parlamentar Mista do Ambiente de Negócios (FPN).
220699,2597230,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação."
220699,2597224,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação."
220699,2596536,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação."
220699,2595818,PEC,48,2025,Altera o inciso XVI do art. 37 da Constituição Federal para permitir a acumulação de cargos públicos por outros profissionais da área da educação.
220699,2591196,PEC,46,2025,Altera a redação do § 4º do art. 212 da Constituição Federal para considerar o programa de alimentação escolar como despesa de manutenção e desenvolvimento de ensino.
220699,2591163,REQ,5289,2025,Requer a quebra de interstício para votação em segundo turno da PEC 72/2023.
220699,2586847,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação, na forma do Substitutivo da Comissão de Defesa do Consumidor."
220699,2584880,REQ,4896,2025,Requer o registro da Frente Parlamentar Mista do Crédito de Carbono.
220699,2583864,REQ,4797,2025,Requer regime de urgência para apreciação do PL nº 4341/2025.
220699,2582274,PRL,2,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação."
220699,2582199,REQ,4700,2025,Requer o registro da Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.
220699,2582044,REQ,4692,2025,Requer o registro da Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial.
220699,2581011,RPD,2,0,Requerimento de Inversão da Pauta - REP 14/2025
220699,2579782,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação deste, na forma da Subemenda Substitutiva Adotada pela CSPCCO, e pela rejeição do Substitutivo da Comissão de Comunicação."
220699,2579203,REQ,4605,2025,Requer a quebra de interstício para votação em segundo turno da PEC 169/2019.
220699,2578859,REQ,4558,2025,"Requer Moção de Aplausos a Francisco das Chagas Ribeiro Magalhães, em reconhecimento à sua destacada trajetória política, acadêmica e social, em especial pelos seus seis mandatos como deputado estadual pelo Piauí, sua contribuição à educação jurídica na Universidade Federal do Piauí, e sua dedicação na defesa dos direitos do povo piauiense."
220699,2578718,PRL,1,0,"Parecer do Relator, Dep. Castro Neto (PSD-PI), pela aprovação."
